Date,Close,signal
2015-09-13,1103.5,0
2015-09-20,1138.0999755859375,1
2015-09-27,1146.0,1
2015-10-04,1137.0999755859375,1
2015-10-11,1156.300048828125,1
2015-10-18,1183.5999755859375,1
2015-10-25,1163.300048828125,1
2015-11-01,1141.5,1
2015-11-08,1087.5999755859375,1
2015-11-15,1080.800048828125,1
2015-11-22,1076.4000244140625,0
2015-11-29,1056.199951171875,0
2015-12-06,1084.5,0
2015-12-13,1076.9000244140625,0
2015-12-20,1066.199951171875,0
2015-12-27,1077.199951171875,0
2016-01-03,1060.300048828125,0
2016-01-10,1097.800048828125,0
2016-01-17,1091.5,0
2016-01-24,1097.199951171875,0
2016-01-31,1116.4000244140625,0
2016-02-07,1157.800048828125,1
2016-02-14,1239.0999755859375,1
2016-02-21,1230.4000244140625,1
2016-02-28,1219.800048828125,1
2016-03-06,1269.9000244140625,1
2016-03-13,1258.699951171875,1
2016-03-20,1253.800048828125,1
2016-03-27,1221.4000244140625,1
2016-04-03,1222.199951171875,1
2016-04-10,1242.5,1
2016-04-17,1233.0999755859375,1
2016-04-24,1228.699951171875,1
2016-05-01,1289.199951171875,1
2016-05-08,1292.9000244140625,1
2016-05-15,1271.9000244140625,1
2016-05-22,1252.4000244140625,1
2016-05-29,1213.800048828125,1
2016-06-05,1240.0999755859375,1
2016-06-12,1273.4000244140625,1
2016-06-19,1292.5,1
2016-06-26,1320.0,1
2016-07-03,1336.699951171875,1
2016-07-10,1356.5999755859375,1
2016-07-17,1326.5,1
2016-07-24,1323.0999755859375,1
2016-07-31,1349.0,1
2016-08-07,1336.4000244140625,1
2016-08-14,1335.800048828125,1
2016-08-21,1340.4000244140625,1
2016-08-28,1321.5,1
2016-09-04,1322.0999755859375,1
2016-09-11,1330.0999755859375,1
2016-09-18,1305.800048828125,1
2016-09-25,1337.199951171875,1
2016-10-02,1313.300048828125,1
2016-10-09,1248.9000244140625,1
2016-10-16,1253.0999755859375,1
2016-10-23,1265.9000244140625,0
2016-10-30,1275.5,0
2016-11-06,1303.300048828125,0
2016-11-13,1265.5,0
2016-11-20,1208.5,0
2016-11-27,1178.199951171875,0
2016-12-04,1175.0999755859375,0
2016-12-11,1159.4000244140625,0
2016-12-18,1135.300048828125,0
2016-12-25,1131.9000244140625,0
2017-01-01,1150.0,0
2017-01-08,1171.9000244140625,0
2017-01-15,1195.300048828125,0
2017-01-22,1204.300048828125,0
2017-01-29,1188.0999755859375,0
2017-02-05,1218.5,0
2017-02-12,1234.4000244140625,0
2017-02-19,1237.5999755859375,0
2017-02-26,1256.9000244140625,0
2017-03-05,1225.5,0
2017-03-12,1200.699951171875,0
2017-03-19,1229.800048828125,0
2017-03-26,1248.199951171875,1
2017-04-02,1247.300048828125,1
2017-04-09,1254.300048828125,1
2017-04-16,1285.9000244140625,1
2017-04-23,1287.4000244140625,1
2017-04-30,1266.0999755859375,1
2017-05-07,1224.800048828125,1
2017-05-14,1226.199951171875,1
2017-05-21,1252.699951171875,1
2017-05-28,1267.5999755859375,1
2017-06-04,1276.800048828125,1
2017-06-11,1268.5,1
2017-06-18,1254.0,1
2017-06-25,1256.199951171875,1
2017-07-02,1240.699951171875,1
2017-07-09,1208.5999755859375,1
2017-07-16,1226.5999755859375,0
2017-07-23,1254.300048828125,1
2017-07-30,1268.4000244140625,1
2017-08-06,1258.300048828125,1
2017-08-13,1287.699951171875,1
2017-08-20,1285.699951171875,1
2017-08-27,1292.5,1
2017-09-03,1324.5,1
