Date,signal,position,Close,strategy
2015-09-11,,0,1103.5,KW_XGB_BASE
2015-09-18,,0,1138.0999755859375,KW_XGB_BASE
2015-09-25,,0,1146.0,KW_XGB_BASE
2015-10-02,,0,1137.0999755859375,KW_XGB_BASE
2015-10-09,,0,1156.300048828125,KW_XGB_BASE
2015-10-16,,0,1183.5999755859375,KW_XGB_BASE
2015-10-23,,0,1163.300048828125,KW_XGB_BASE
2015-10-30,,0,1141.5,KW_XGB_BASE
2015-11-06,,0,1087.5999755859375,KW_XGB_BASE
2015-11-13,,0,1080.800048828125,KW_XGB_BASE
2015-11-20,,0,1076.4000244140625,KW_XGB_BASE
2015-11-27,,0,1056.199951171875,KW_XGB_BASE
2015-12-04,,0,1084.5,KW_XGB_BASE
2015-12-11,,0,1076.9000244140625,KW_XGB_BASE
2015-12-18,,0,1066.199951171875,KW_XGB_BASE
2015-12-25,,0,1077.199951171875,KW_XGB_BASE
2016-01-01,,0,1060.300048828125,KW_XGB_BASE
2016-01-08,,0,1097.800048828125,KW_XGB_BASE
2016-01-15,,0,1091.5,KW_XGB_BASE
2016-01-22,,0,1097.199951171875,KW_XGB_BASE
2016-01-29,,0,1116.4000244140625,KW_XGB_BASE
2016-02-05,,0,1157.800048828125,KW_XGB_BASE
2016-02-12,,0,1239.0999755859375,KW_XGB_BASE
2016-02-19,,0,1230.4000244140625,KW_XGB_BASE
2016-02-26,,0,1219.800048828125,KW_XGB_BASE
2016-03-04,,0,1269.9000244140625,KW_XGB_BASE
2016-03-11,,0,1258.699951171875,KW_XGB_BASE
2016-03-18,,0,1253.800048828125,KW_XGB_BASE
2016-03-25,,0,1221.4000244140625,KW_XGB_BASE
2016-04-01,,0,1222.199951171875,KW_XGB_BASE
2016-04-08,,0,1242.5,KW_XGB_BASE
2016-04-15,,0,1233.0999755859375,KW_XGB_BASE
2016-04-22,,0,1228.699951171875,KW_XGB_BASE
2016-04-29,,0,1289.199951171875,KW_XGB_BASE
2016-05-06,,0,1292.9000244140625,KW_XGB_BASE
2016-05-13,,0,1271.9000244140625,KW_XGB_BASE
2016-05-20,,0,1252.4000244140625,KW_XGB_BASE
2016-05-27,,0,1213.800048828125,KW_XGB_BASE
2016-06-03,,0,1240.0999755859375,KW_XGB_BASE
2016-06-10,,0,1273.4000244140625,KW_XGB_BASE
2016-06-17,,0,1292.5,KW_XGB_BASE
2016-06-24,,0,1320.0,KW_XGB_BASE
2016-07-01,,0,1336.699951171875,KW_XGB_BASE
2016-07-08,,0,1356.5999755859375,KW_XGB_BASE
2016-07-15,,0,1326.5,KW_XGB_BASE
2016-07-22,,0,1323.0999755859375,KW_XGB_BASE
2016-07-29,,0,1349.0,KW_XGB_BASE
2016-08-05,,0,1336.4000244140625,KW_XGB_BASE
2016-08-12,,0,1335.800048828125,KW_XGB_BASE
2016-08-19,,0,1340.4000244140625,KW_XGB_BASE
2016-08-26,,0,1321.5,KW_XGB_BASE
2016-09-02,,0,1322.0999755859375,KW_XGB_BASE
2016-09-09,,0,1330.0999755859375,KW_XGB_BASE
2016-09-16,,0,1305.800048828125,KW_XGB_BASE
2016-09-23,,0,1337.199951171875,KW_XGB_BASE
2016-09-30,,0,1313.300048828125,KW_XGB_BASE
2016-10-07,,0,1248.9000244140625,KW_XGB_BASE
2016-10-14,,0,1253.0999755859375,KW_XGB_BASE
2016-10-21,,0,1265.9000244140625,KW_XGB_BASE
2016-10-28,,0,1275.5,KW_XGB_BASE
2016-11-04,,0,1303.300048828125,KW_XGB_BASE
2016-11-11,,0,1265.5,KW_XGB_BASE
2016-11-18,,0,1208.5,KW_XGB_BASE
2016-11-25,,0,1178.199951171875,KW_XGB_BASE
2016-12-02,,0,1175.0999755859375,KW_XGB_BASE
2016-12-09,,0,1159.4000244140625,KW_XGB_BASE
2016-12-16,,0,1135.300048828125,KW_XGB_BASE
2016-12-23,,0,1131.9000244140625,KW_XGB_BASE
2016-12-30,,0,1150.0,KW_XGB_BASE
2017-01-06,,0,1171.9000244140625,KW_XGB_BASE
2017-01-13,,0,1195.300048828125,KW_XGB_BASE
2017-01-20,,0,1204.300048828125,KW_XGB_BASE
2017-01-27,,0,1188.0999755859375,KW_XGB_BASE
2017-02-03,,0,1218.5,KW_XGB_BASE
2017-02-10,,0,1234.4000244140625,KW_XGB_BASE
2017-02-17,,0,1237.5999755859375,KW_XGB_BASE
2017-02-24,,0,1256.9000244140625,KW_XGB_BASE
2017-03-03,,0,1225.5,KW_XGB_BASE
2017-03-10,,0,1200.699951171875,KW_XGB_BASE
2017-03-17,,0,1229.800048828125,KW_XGB_BASE
2017-03-24,,0,1248.199951171875,KW_XGB_BASE
2017-03-31,,0,1247.300048828125,KW_XGB_BASE
2017-04-07,,0,1254.300048828125,KW_XGB_BASE
2017-04-14,,0,1285.9000244140625,KW_XGB_BASE
2017-04-21,,0,1287.4000244140625,KW_XGB_BASE
2017-04-28,,0,1266.0999755859375,KW_XGB_BASE
2017-05-05,,0,1224.800048828125,KW_XGB_BASE
2017-05-12,,0,1226.199951171875,KW_XGB_BASE
2017-05-19,,0,1252.699951171875,KW_XGB_BASE
2017-05-26,,0,1267.5999755859375,KW_XGB_BASE
2017-06-02,,0,1276.800048828125,KW_XGB_BASE
2017-06-09,,0,1268.5,KW_XGB_BASE
