asset,dataset,model,strategy,auc,accuracy,trades,run_id,freq,Return_Ann,Vol_Ann,Sharpe,MaxDD
USDCNY,,,KW_LSTM,,,,,D,0.056819289315061,0.0539670892268039,1.052850730493734,-0.0304720229350767
USDCNY,,,KW_XGB,,,,,D,0.128945593908236,0.0604131112546244,2.1343975046205834,-0.041472695589833
USDCNY,,,KW_LR,,,,,D,0.2685467964750848,0.0606727501637167,4.426151703202005,-0.0225998043755583
USDCNY,,,KW_LR,,,,,D,0.2133177263192939,0.0557731085854194,3.8247415596816974,-0.0292986543409885
USDCNY,,,KW_RF,,,,,D,0.0371116208496171,0.0579317017585881,0.6406098858319059,-0.0493624963290412
USDCNY,,,KW_LSTM,,,,,D,0.0040032460609069,0.0289347160553322,0.1383544270229408,-0.0285640941557351
USDCNY,,,KW_GRU,,,,,D,-0.0529211631460191,0.0282973984915312,-1.870177683007052,-0.0788543544626063
USDCNY,,,KW_XGB,,,,,D,0.0377466524871987,0.0581748468044917,0.6488483349866645,-0.0261301157908973
USDCNY,,,KW_MLP,,,,,D,0.036987979648148,0.0536754946363988,0.6891036570544334,-0.0450021016157368
USDCNY,,,KW_LSTM,,,,,D,-0.0153267258937748,0.020846017338375,-0.7352352080011081,-0.033816183627516
USDCNY,,,KW_MLP,,,,,D,-0.0438907596454414,0.0349840783993551,-1.2545924218558373,-0.0912755260876925
USDCNY,,,KW_RF,,,,,D,0.103647616154426,0.0517216044033491,2.0039520689678083,-0.0390351883577734
USDCNY,,,KW_GRU,,,,,D,0.0184132116802252,0.0344660211957077,0.5342424521725275,-0.0394948301228486
USDCNY,,,KW_LR,,,,,D,0.2471253385780736,0.0594092989341724,4.15970804253888,-0.0231761407017762
USDCNY,,,KW_XGB,,,,,D,0.1721183931431668,0.0642789276017103,2.677679911053573,-0.0316590435053829
USDCNY,,,KW_MLP,,,,,D,-0.0278415015913606,0.0274859359710975,-1.01293627477838,-0.0503019083433423
USDCNY,,,KW_RF,,,,,D,-0.0044040874484732,0.0335619092432162,-0.1312227923792344,-0.0364973637449841
USDCNY,,,KW_LR,,,,,D,0.0142595970220728,0.0290491723753976,0.4908779099727327,-0.0398654920993534
USDCNY,,,KW_XGB,,,,,D,-0.0044040874484732,0.0335619092432162,-0.1312227923792344,-0.0364973637449841
USDCNY,,,KW_GRU,,,,,D,-0.005493235181824,0.0337280907227448,-0.1628682520745121,-0.0364973637449848
USDCNY,,,KW_LSTM,,,,,D,-0.005493235181824,0.0337280907227448,-0.1628682520745121,-0.0364973637449848
USDCNY,,,KW_GRU,,,,,D,-0.005493235181824,0.0337280907227448,-0.1628682520745121,-0.0364973637449848
USDCNY,,,KW_MLP,,,,,D,-0.0128448767225456,0.0327762488802586,-0.3918958746460513,-0.0364973637449841
USDCNY,,,KW_XGB,,,,,D,-0.0365791481663872,0.0251916430613573,-1.4520350291282826,-0.060708523331143
USDCNY,,,KW_LSTM,,,,,D,-0.005493235181824,0.0337280907227448,-0.1628682520745121,-0.0364973637449848
USDCNY,,,KW_LR,,,,,D,0.0402380229921347,0.0222124703375566,1.8115059865313896,-0.0172778159132642
USDCNY,,,KW_RF,,,,,D,-0.0044040874484732,0.0335619092432162,-0.1312227923792344,-0.0364973637449841
USDCNY,,,KW_GRU,,,,,D,-0.005493235181824,0.0337280907227448,-0.1628682520745121,-0.0364973637449848
USDCNY,,,KW_LSTM,,,,,D,-0.005493235181824,0.0337280907227448,-0.1628682520745121,-0.0364973637449848
USDCNY,,,KW_XGB,,,,,D,-0.0044040874484732,0.0335619092432162,-0.1312227923792344,-0.0364973637449841
USDCNY,,,KW_MLP,,,,,D,-0.036728607816549,0.0280607459504189,-1.3088963451451168,-0.0589903294881619
USDCNY,,,KW_RF,,,,,D,-0.0044040874484732,0.0335619092432162,-0.1312227923792344,-0.0364973637449841
USDCNY,,,KW_LSTM,,,,,D,-0.005493235181824,0.0337280907227448,-0.1628682520745121,-0.0364973637449848
USDCNY,,,KW_GRU,,,,,D,-0.0025896493058941,0.0328360096265169,-0.0788661391974639,-0.0343696753538901
USDCNY,,,KW_LR,,,,,D,0.0058416352631891,0.0290478134374224,0.2011041304631672,-0.0352348291750668
USDCNY,,,KW_LR,,,,,D,0.0287636589231636,0.0209686896859708,1.3717432683649289,-0.0313876245903683
USDCNY,,,KW_MLP,,,,,D,-0.0354500422794725,0.0313070281557075,-1.1323349537732996,-0.0573148082847934
USDCNY,,,KW_RF,,,,,D,-0.0184436325189229,0.0298991156526084,-0.6168621417842479,-0.0384403522303714
USDCNY,,,KW_XGB,,,,,D,-0.026612750362107647,0.026339756017741082,-1.0103643459788576,-0.042986000891259035
