Date,Close,signal
2015-09-13,6.367199897766113,0
2015-09-20,6.355999946594238,0
2015-09-27,6.373300075531006,0
2015-10-04,6.346099853515625,0
2015-10-11,6.343500137329102,0
2015-10-18,6.33620023727417,0
2015-10-25,6.3480000495910645,0
2015-11-01,6.346700191497803,0
2015-11-08,6.33620023727417,0
2015-11-15,6.359300136566162,0
2015-11-22,6.373000144958496,0
2015-11-29,6.3796000480651855,0
2015-12-06,6.387499809265137,1
2015-12-13,6.427800178527832,1
2015-12-20,6.473700046539307,1
2015-12-27,6.467299938201904,1
2016-01-03,6.483699798583984,1
2016-01-10,6.582900047302246,1
2016-01-17,6.5802001953125,1
2016-01-24,6.570000171661377,1
2016-01-31,6.565199851989746,1
2016-02-07,6.554800033569336,1
2016-02-14,6.563899993896484,1
2016-02-21,6.508800029754639,1
2016-02-28,6.523499965667725,1
2016-03-06,6.521500110626221,1
2016-03-13,6.498600006103516,1
2016-03-20,6.465000152587891,1
2016-03-27,6.504700183868408,1
2016-04-03,6.439000129699707,1
2016-04-10,6.453000068664551,1
2016-04-17,6.472599983215332,1
2016-04-24,6.47189998626709,1
2016-05-01,6.46589994430542,1
2016-05-08,6.493500232696533,1
2016-05-15,6.506800174713135,1
2016-05-22,6.537000179290772,1
2016-05-29,6.546999931335449,1
2016-06-05,6.57450008392334,1
2016-06-12,6.552000045776367,1
2016-06-19,6.581999778747559,1
2016-06-26,6.567299842834473,1
2016-07-03,6.6381001472473145,1
2016-07-10,6.67110013961792,1
2016-07-17,6.673600196838379,1
2016-07-24,6.6743998527526855,1
2016-07-31,6.656099796295166,1
2016-08-07,6.638700008392334,1
2016-08-14,6.625999927520752,1
2016-08-21,6.611999988555908,1
2016-08-28,6.65939998626709,1
2016-09-04,6.6682000160217285,1
2016-09-11,6.662799835205078,1
2016-09-18,6.671199798583984,1
2016-09-25,6.66379976272583,1
2016-10-02,6.668700218200684,1
2016-10-09,6.673699855804443,1
2016-10-16,6.729300022125244,1
2016-10-23,6.743000030517578,1
2016-10-30,6.784800052642822,1
2016-11-06,6.766200065612793,1
2016-11-13,6.801700115203857,1
2016-11-20,6.876599788665772,1
2016-11-27,6.9182000160217285,1
2016-12-04,6.876500129699707,1
2016-12-11,6.869900226593018,1
2016-12-18,6.934299945831299,1
2016-12-25,6.940400123596191,1
2017-01-01,6.945300102233887,1
2017-01-08,6.887899875640869,1
2017-01-15,6.894899845123291,1
2017-01-22,6.861299991607666,1
2017-01-29,6.878399848937988,1
2017-02-05,6.880000114440918,1
2017-02-12,6.868599891662598,1
2017-02-19,6.85260009765625,1
2017-02-26,6.865499973297119,1
2017-03-05,6.887599945068359,1
2017-03-12,6.910200119018555,1
2017-03-19,6.896699905395508,1
2017-03-26,6.885799884796143,1
2017-04-02,6.888999938964844,1
2017-04-09,6.897799968719482,1
2017-04-16,6.886499881744385,1
2017-04-23,6.881700038909912,1
2017-04-30,6.896900177001953,1
2017-05-07,6.895400047302246,1
2017-05-14,6.90369987487793,1
2017-05-21,6.889100074768066,1
2017-05-28,6.867700099945068,1
2017-06-04,6.808599948883057,1
2017-06-11,6.799200057983398,0
2017-06-18,6.808499813079834,0
2017-06-25,6.83459997177124,0
2017-07-02,6.785699844360352,0
2017-07-09,6.799900054931641,0
2017-07-16,6.782599925994873,0
2017-07-23,6.758900165557861,0
