Date,signal,position,Close,strategy
2016-08-21,0,0,6.611999988555908,S3_breakout
2016-08-28,0,0,6.65939998626709,S3_breakout
2016-09-04,0,0,6.6682000160217285,S3_breakout
2016-09-11,0,0,6.662799835205078,S3_breakout
2016-09-18,0,0,6.671199798583984,S3_breakout
2016-09-25,0,0,6.66379976272583,S3_breakout
2016-10-02,0,0,6.668700218200684,S3_breakout
2016-10-09,0,0,6.673699855804443,S3_breakout
2016-10-16,1,1,6.729300022125244,S3_breakout
2016-10-23,0,1,6.743000030517578,S3_breakout
2016-10-30,0,1,6.784800052642822,S3_breakout
2016-11-06,0,1,6.766200065612793,S3_breakout
2016-11-13,0,1,6.801700115203857,S3_breakout
2016-11-20,0,1,6.876599788665772,S3_breakout
2016-11-27,0,1,6.9182000160217285,S3_breakout
2016-12-04,0,1,6.876500129699707,S3_breakout
2016-12-11,0,1,6.869900226593018,S3_breakout
2016-12-18,0,1,6.934299945831299,S3_breakout
2016-12-25,0,1,6.940400123596191,S3_breakout
2017-01-01,0,1,6.945300102233887,S3_breakout
2017-01-08,0,1,6.887899875640869,S3_breakout
2017-01-15,0,1,6.894899845123291,S3_breakout
2017-01-22,0,1,6.861299991607666,S3_breakout
2017-01-29,0,1,6.878399848937988,S3_breakout
2017-02-05,0,1,6.880000114440918,S3_breakout
2017-02-12,0,1,6.868599891662598,S3_breakout
2017-02-19,0,0,6.85260009765625,S3_breakout
2017-02-26,0,0,6.865499973297119,S3_breakout
2017-03-05,0,0,6.887599945068359,S3_breakout
2017-03-12,0,0,6.910200119018555,S3_breakout
2017-03-19,0,0,6.896699905395508,S3_breakout
2017-03-26,0,0,6.885799884796143,S3_breakout
2017-04-02,0,0,6.888999938964844,S3_breakout
2017-04-09,0,0,6.897799968719482,S3_breakout
2017-04-16,0,0,6.886499881744385,S3_breakout
2017-04-23,0,0,6.881700038909912,S3_breakout
2017-04-30,0,0,6.896900177001953,S3_breakout
2017-05-07,0,0,6.895400047302246,S3_breakout
2017-05-14,0,0,6.90369987487793,S3_breakout
2017-05-21,0,0,6.889100074768066,S3_breakout
2017-05-28,0,0,6.867700099945068,S3_breakout
2017-06-04,0,0,6.808599948883057,S3_breakout
2017-06-11,0,0,6.799200057983398,S3_breakout
2017-06-18,0,0,6.808499813079834,S3_breakout
2017-06-25,0,0,6.83459997177124,S3_breakout
2017-07-02,0,0,6.785699844360352,S3_breakout
2017-07-09,0,0,6.799900054931641,S3_breakout
2017-07-16,0,0,6.782599925994873,S3_breakout
2017-07-23,0,0,6.758900165557861,S3_breakout
2017-07-30,0,0,6.739999771118164,S3_breakout
2017-08-06,0,0,6.71560001373291,S3_breakout
2017-08-13,0,0,6.6458001136779785,S3_breakout
2017-08-20,0,0,6.677700042724609,S3_breakout
2017-08-27,0,0,6.661300182342529,S3_breakout
2017-09-03,0,0,6.589799880981445,S3_breakout
2017-09-10,0,0,6.484600067138672,S3_breakout
2017-09-17,0,0,6.554800033569336,S3_breakout
2017-09-24,0,0,6.590000152587891,S3_breakout
2017-10-01,0,0,6.664999961853027,S3_breakout
2017-10-08,0,0,6.653900146484375,S3_breakout
2017-10-15,0,0,6.5879998207092285,S3_breakout
2017-10-22,0,0,6.614099979400635,S3_breakout
2017-10-29,0,0,6.64109992980957,S3_breakout
2017-11-05,0,0,6.608099937438965,S3_breakout
2017-11-12,0,0,6.630300045013428,S3_breakout
2017-11-19,0,0,6.627699851989746,S3_breakout
2017-11-26,0,0,6.5833001136779785,S3_breakout
2017-12-03,0,0,6.612100124359131,S3_breakout
2017-12-10,0,0,6.618000030517578,S3_breakout
2017-12-17,0,0,6.60860013961792,S3_breakout
2017-12-24,0,0,6.585400104522705,S3_breakout
2017-12-31,0,0,6.531599998474121,S3_breakout
2018-01-07,0,0,6.493299961090088,S3_breakout
2018-01-14,0,0,6.490200042724609,S3_breakout
2018-01-21,0,0,6.420599937438965,S3_breakout
2018-01-28,0,0,6.322800159454346,S3_breakout
2018-02-04,0,0,6.298399925231934,S3_breakout
2018-02-11,0,0,6.326300144195557,S3_breakout
2018-02-18,0,0,6.3471999168396,S3_breakout
2018-02-25,0,0,6.350200176239014,S3_breakout
2018-03-04,0,0,6.357399940490723,S3_breakout
2018-03-11,0,0,6.341599941253662,S3_breakout
2018-03-18,0,0,6.320899963378906,S3_breakout
