asset,freq,dataset,family,family_id,params,sharpe,max_dd,ann_return
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_MAcross_20-100_prob055,,-0.0623950737826936,-0.2910234454384658,-0.0285632895178648
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_MAcross_20-100_prob060,,-0.2155390065884031,-0.3146108415574637,-0.051511384752989
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_MAcross_50-200_prob052,,-0.1015130447969002,-0.2977220719688773,-0.0175498255558973
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_MAcross_50-200_prob055,,-0.0844056463612299,-0.2375893303456538,-0.013936879311582
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_MAcross_50-200_prob060,,-0.4044889580251377,-0.2246364255339348,-0.0407971167914674
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI14_65-35_prob052,,0.044404375277435,-0.3940598487973953,-0.0191466839112838
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI14_65-35_prob055,,0.0403647034555253,-0.4255273874513028,-0.0190484671469154
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI14_65-35_prob060,,0.054595164675436,-0.4051088394662453,-0.0151500467483632
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI14_70-30_prob052,,-0.3430540946448296,-0.3501393472548458,-0.0777397218677953
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI14_70-30_prob055,,-0.4188381610305526,-0.3775230260433176,-0.0872921529819173
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI14_70-30_prob060,,-0.4171463600321094,-0.3727704344455472,-0.085611729888843
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI21_65-35_prob052,,-0.095673483024432,-0.3511286711352185,-0.0409578411893011
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI21_65-35_prob055,,-0.1244105607336855,-0.3239610880916906,-0.0449157136769796
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI21_65-35_prob060,,-0.1123530586498381,-0.3214477833759033,-0.0422051626190302
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI21_70-30_prob052,,0.2243281365940016,-0.2205420072879507,0.0228971958574468
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI21_70-30_prob055,,0.1001479518297195,-0.2300155138602952,0.0041339822310646
BTC,D,base,HYBRID_CONF,HYB_CONF_LR_TA_RSI21_70-30_prob060,,0.1157376023369057,-0.2300155138602954,0.0064202696967852
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MACD_12-26-9_prob052,,0.2724218397206384,-0.3330051324557316,0.0375102047308337
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MACD_12-26-9_prob055,,0.530084117910336,-0.127411233638742,0.0547911305093038
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MACD_12-26-9_prob060,,0.0,0.0,0.0
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MACD_19-39-9_prob052,,0.1080089371672583,-0.3556045008743751,-0.004930420589239
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MACD_19-39-9_prob055,,0.2691634315167239,-0.243731924996428,0.0268549248342939
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MACD_19-39-9_prob060,,0.0,0.0,0.0
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_10-50_prob052,,-0.2386589276661793,-0.4129160812562179,-0.0772938343828644
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_10-50_prob055,,0.1145969498865581,-0.2551842431228985,0.0062494953349601
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_10-50_prob060,,0.0,0.0,0.0
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_20-100_prob052,,-0.2561337448703996,-0.2679516953556639,-0.0446054474156214
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_20-100_prob055,,0.3904478681506216,-0.0569715825319473,0.0221223998291191
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_20-100_prob060,,0.0,0.0,0.0
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_50-200_prob052,,-0.1829638237074081,-0.0586296037364238,-0.0081785976681817
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_50-200_prob055,,0.1564903170122074,-0.0308200086815363,0.0049091874692015
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_MAcross_50-200_prob060,,0.0,0.0,0.0
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI14_65-35_prob052,,-0.0862376317035792,-0.3369715491539439,-0.0294016723224088
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI14_65-35_prob055,,0.339981398501313,-0.1763190110728126,0.0307827012504073
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI14_65-35_prob060,,0.0,0.0,0.0
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI14_70-30_prob052,,-0.8958822255486135,-0.4043348349667927,-0.1074625205897945
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI14_70-30_prob055,,-0.1967256810295385,-0.1324489830807361,-0.0112256919810196
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI14_70-30_prob060,,0.0,0.0,0.0
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI21_65-35_prob052,,-0.3750703077686439,-0.3206574451678544,-0.069490213525811
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI21_65-35_prob055,,0.0829888142666878,-0.1572289386730088,0.0033987791651421
BTC,D,base,HYBRID_CONF,HYB_CONF_LSTM_TA_RSI21_65-35_prob060,,0.0,0.0,0.0
