asset,freq,dataset,model,task,mae,rmse,spearman
GOLD,W,base,GRU_cls,classification,,,
GOLD,W,base,GRU_reg,regression,,,
GOLD,W,base,LR_cls,classification,,,
GOLD,W,base,LR_reg,regression,,,
GOLD,W,base,LSTM_cls,classification,,,
GOLD,W,base,LSTM_reg,regression,,,
GOLD,W,base,MLP_cls,classification,,,
GOLD,W,base,MLP_reg,regression,,,
GOLD,W,base,RF_cls,classification,,,
GOLD,W,base,RF_reg,regression,1.5543821891477658,2.0311627325115817,-0.0344636294293044
GOLD,W,base,XGB_cls,classification,,,
GOLD,W,base,XGB_reg,regression,1.6176381592212377,2.096667033258577,-0.0261477652782
GOLD,W,eng,GRU_cls,classification,,,
GOLD,W,eng,GRU_reg,regression,,,
GOLD,W,eng,LR_cls,classification,,,
GOLD,W,eng,LR_reg,regression,,,
GOLD,W,eng,LSTM_cls,classification,,,
GOLD,W,eng,LSTM_reg,regression,,,
GOLD,W,eng,MLP_cls,classification,,,
GOLD,W,eng,MLP_reg,regression,,,
GOLD,W,eng,RF_cls,classification,,,
GOLD,W,eng,RF_reg,regression,1.5327161298532177,2.001323293106504,-0.0081811780896449
GOLD,W,eng,XGB_cls,classification,,,
GOLD,W,eng,XGB_reg,regression,1.6177947382180362,2.044644869102734,-0.0238514346065833
GOLD,W,ext,GRU_cls,classification,,,
GOLD,W,ext,GRU_reg,regression,,,
GOLD,W,ext,LR_cls,classification,,,
GOLD,W,ext,LR_reg,regression,,,
GOLD,W,ext,LSTM_cls,classification,,,
GOLD,W,ext,LSTM_reg,regression,,,
GOLD,W,ext,MLP_cls,classification,,,
GOLD,W,ext,MLP_reg,regression,,,
GOLD,W,ext,RF_cls,classification,,,
GOLD,W,ext,RF_reg,regression,1.5327161298532177,2.001323293106504,-0.0081811780896449
GOLD,W,ext,XGB_cls,classification,,,
GOLD,W,ext,XGB_reg,regression,1.6177947382180362,2.044644869102734,-0.0238514346065833
OIL,D,base,GRU_cls,classification,,,
OIL,D,base,GRU_reg,regression,,,
OIL,D,base,LR_cls,classification,,,
OIL,D,base,LR_reg,regression,,,
OIL,D,base,LSTM_cls,classification,,,
OIL,D,base,LSTM_reg,regression,,,
OIL,D,base,MLP_cls,classification,,,
OIL,D,base,MLP_reg,regression,,,
