asset,freq,strategy,type,model,cagr,sharpe,winrate,max_dd
BTC,D,EMA,BASELINE,,2.937356033857016,2.863603243549678,0.3740896895362208,-0.2986470606868463
BTC,D,SMA,BASELINE,,2.592822611117461,2.6922037672976007,0.358758144883097,-0.2986470606868463
GOLD,D,EMA,BASELINE,,0.3772689104484159,2.703162409432525,0.3564584131851284,-0.0680964909441259
GOLD,D,SMA,BASELINE,,0.3399344098080843,2.5258183133904515,0.3323112303564584,-0.0680964909441265
OIL,D,EMA,BASELINE,,0.9797164935744068,2.879956779686041,0.3223457263319279,-0.2316895451881585
OIL,D,SMA,BASELINE,,0.8599485990280178,2.6202261872272112,0.3169796857033346,-0.2316895451881586
USDCNY,D,EMA,BASELINE,,0.0974677453127728,2.562984356242162,0.3001149865848984,-0.0203594992451248
USDCNY,D,SMA,BASELINE,,0.088615756334734,2.345602277824569,0.2951322345726332,-0.0203594992451245
