type,asset,freq,strategy,model,window,source,Return_Ann,Sharpe,MaxDD,Trades,WinRate
keyword,OIL,W,SMA,GRU,10,,0.07137675276041716,0.30156389946783,-0.49506875532870476,47,0.5543478260869565
keyword,OIL,W,SMA,GRU,20,,0.047702368352461,0.20710152707999407,-0.42074281295607263,31,0.5547445255474452
keyword,OIL,W,EMA,GRU,10,,0.05283074140437905,0.22082825396194425,-0.4703413127933973,52,0.5543859649122806
keyword,OIL,W,EMA,GRU,20,,0.0178524266689444,0.07510771339003947,-0.47682017257595843,40,0.5441696113074205
keyword,OIL,W,SMA,LR,10,,0.0750690208334601,0.31758123490292217,-0.4756332642769898,47,0.5563636363636364
keyword,OIL,W,SMA,LR,20,,0.047702368352461,0.20710152707999407,-0.42074281295607263,31,0.5547445255474452
keyword,OIL,W,EMA,LR,10,,0.05283074140437905,0.22082825396194425,-0.4703413127933973,52,0.5543859649122806
keyword,OIL,W,EMA,LR,20,,0.02154469474198735,0.09075384625551608,-0.4739959385878262,40,0.5460992907801419
keyword,OIL,W,SMA,LSTM,10,,0.07137675276041716,0.30156389946783,-0.49506875532870476,47,0.5543478260869565
keyword,OIL,W,SMA,LSTM,20,,0.047702368352461,0.20710152707999407,-0.42074281295607263,31,0.5547445255474452
keyword,OIL,W,EMA,LSTM,10,,0.05283074140437905,0.22082825396194425,-0.4703413127933973,52,0.5543859649122806
keyword,OIL,W,EMA,LSTM,20,,0.0178524266689444,0.07510771339003947,-0.47682017257595843,40,0.5441696113074205
keyword,OIL,W,SMA,MLP,10,,0.07137675276041716,0.30156389946783,-0.49506875532870476,47,0.5543478260869565
keyword,OIL,W,SMA,MLP,20,,0.047702368352461,0.20710152707999407,-0.42074281295607263,31,0.5547445255474452
keyword,OIL,W,EMA,MLP,10,,0.05283074140437905,0.22082825396194425,-0.4703413127933973,52,0.5543859649122806
keyword,OIL,W,EMA,MLP,20,,0.0178524266689444,0.07510771339003947,-0.47682017257595843,40,0.5441696113074205
keyword,OIL,W,SMA,RF,10,,0.07137675276041716,0.30156389946783,-0.49506875532870476,47,0.5543478260869565
keyword,OIL,W,SMA,RF,20,,0.047702368352461,0.20710152707999407,-0.42074281295607263,31,0.5547445255474452
keyword,OIL,W,EMA,RF,10,,0.05283074140437905,0.22082825396194425,-0.4703413127933973,52,0.5543859649122806
keyword,OIL,W,EMA,RF,20,,0.0178524266689444,0.07510771339003947,-0.47682017257595843,40,0.5441696113074205
keyword,OIL,W,SMA,XGB,10,,0.0750351715974269,0.3172672201833482,-0.47597546992069495,48,0.5583941605839416
keyword,OIL,W,SMA,XGB,20,,0.051360787189470736,0.22316086965111936,-0.42074281295607263,31,0.5588235294117647
keyword,OIL,W,EMA,XGB,10,,0.05648916024138878,0.23629456196674992,-0.45031299291738947,52,0.558303886925795
keyword,OIL,W,EMA,XGB,20,,0.021510845505954133,0.09056297659000248,-0.4739959385878262,41,0.5480427046263345
