asset,freq,type,strategy,model,window,threshold,return,cagr,max_drawdown,sharpe,trades
OIL,W,BASELINE,SMA,,20,,0.2402,0.0218,-0.4207,,
OIL,W,BASELINE,EMA,,20,,-0.0485,-0.005,-0.4768,,
