asset,freq,strategy,Return_Ann
OIL,D,XGB,1.087703108679494
OIL,D,RF,1.0684402440641545
OIL,D,LR,0.9782833038977348
OIL,D,W30,0.7445739171573338
OIL,D,W30,0.19433178969599596
OIL,D,W30,0.11196957212021608
OIL,D,RF,0.742808968779906
OIL,D,XGB,0.7370141062287526
OIL,D,LR,0.7049179537233611
OIL,D,W30,1.0313242632228676
OIL,D,W30,0.9828569639469422
OIL,D,W30,0.6745761876490578
OIL,D,RF,1.0526428617750274
OIL,D,LR,0.9139698396385072
OIL,D,XGB,0.6616730363262807
OIL,D,W30,0.6582480022443342
OIL,D,W30,1.0259405990594677
OIL,D,W30,0.9810140213820688
OIL,D,XGB,0.7350996338793833
OIL,D,LR,0.7198467372318776
OIL,D,RF,0.6706987794425252
OIL,D,W30,0.9968302156820976
OIL,D,W30,0.8111435892613055
OIL,D,W30,0.6510871154153899
