date,prob_up,signal,run_id
2022-09-27,0.6631862,1,d_prod_20250914-055550
2022-09-28,0.6685015,1,d_prod_20250914-055550
2022-09-29,0.6437778,1,d_prod_20250914-055550
2022-09-30,0.64387614,1,d_prod_20250914-055550
2022-10-03,0.65530545,1,d_prod_20250914-055550
2022-10-04,0.6081858,1,d_prod_20250914-055550
2022-10-05,0.52621984,1,d_prod_20250914-055550
2022-10-06,0.49295837,0,d_prod_20250914-055550
2022-10-07,0.4709907,0,d_prod_20250914-055550
2022-10-10,0.4734769,0,d_prod_20250914-055550
2022-10-11,0.49460125,0,d_prod_20250914-055550
2022-10-12,0.4726997,0,d_prod_20250914-055550
2022-10-13,0.46541482,0,d_prod_20250914-055550
2022-10-14,0.44404307,0,d_prod_20250914-055550
2022-10-17,0.46769756,0,d_prod_20250914-055550
2022-10-18,0.427044,0,d_prod_20250914-055550
2022-10-19,0.42238265,0,d_prod_20250914-055550
2022-10-20,0.43238235,0,d_prod_20250914-055550
2022-10-21,0.41494852,0,d_prod_20250914-055550
2022-10-24,0.37128782,0,d_prod_20250914-055550
2022-10-25,0.35617262,0,d_prod_20250914-055550
2022-10-26,0.34237587,0,d_prod_20250914-055550
2022-10-27,0.32568368,0,d_prod_20250914-055550
2022-10-28,0.31913215,0,d_prod_20250914-055550
2022-10-31,0.33371803,0,d_prod_20250914-055550
2022-11-01,0.3342402,0,d_prod_20250914-055550
2022-11-02,0.33124575,0,d_prod_20250914-055550
2022-11-03,0.32167077,0,d_prod_20250914-055550
2022-11-04,0.34128514,0,d_prod_20250914-055550
2022-11-07,0.3195554,0,d_prod_20250914-055550
2022-11-08,0.308146,0,d_prod_20250914-055550
2022-11-09,0.28905997,0,d_prod_20250914-055550
2022-11-10,0.2817657,0,d_prod_20250914-055550
2022-11-11,0.24904203,0,d_prod_20250914-055550
2022-11-14,0.23669122,0,d_prod_20250914-055550
2022-11-15,0.22702399,0,d_prod_20250914-055550
2022-11-16,0.22792742,0,d_prod_20250914-055550
2022-11-17,0.22856441,0,d_prod_20250914-055550
2022-11-18,0.24251021,0,d_prod_20250914-055550
2022-11-21,0.26487675,0,d_prod_20250914-055550
2022-11-22,0.29126325,0,d_prod_20250914-055550
2022-11-23,0.32843587,0,d_prod_20250914-055550
2022-11-24,0.3659044,0,d_prod_20250914-055550
2022-11-25,0.42092195,0,d_prod_20250914-055550
2022-11-28,0.4664739,0,d_prod_20250914-055550
2022-11-29,0.49523684,0,d_prod_20250914-055550
2022-11-30,0.49458924,0,d_prod_20250914-055550
2022-12-01,0.4866836,0,d_prod_20250914-055550
2022-12-02,0.4313353,0,d_prod_20250914-055550
2022-12-05,0.3790273,0,d_prod_20250914-055550
2022-12-06,0.35592896,0,d_prod_20250914-055550
2022-12-07,0.32500216,0,d_prod_20250914-055550
2022-12-08,0.29596826,0,d_prod_20250914-055550
2022-12-09,0.2847221,0,d_prod_20250914-055550
2022-12-12,0.27213794,0,d_prod_20250914-055550
2022-12-13,0.2819122,0,d_prod_20250914-055550
2022-12-14,0.26025525,0,d_prod_20250914-055550
2022-12-15,0.24147016,0,d_prod_20250914-055550
2022-12-16,0.24356781,0,d_prod_20250914-055550
2022-12-19,0.24682549,0,d_prod_20250914-055550
2022-12-20,0.26497272,0,d_prod_20250914-055550
2022-12-21,0.27686998,0,d_prod_20250914-055550
2022-12-22,0.29991072,0,d_prod_20250914-055550
2022-12-23,0.3580317,0,d_prod_20250914-055550
2022-12-26,0.40793282,0,d_prod_20250914-055550
2022-12-27,0.46004602,0,d_prod_20250914-055550
2022-12-28,0.47891605,0,d_prod_20250914-055550
2022-12-29,0.49471527,0,d_prod_20250914-055550
2022-12-30,0.49667633,0,d_prod_20250914-055550
2023-01-02,0.50384176,1,d_prod_20250914-055550
2023-01-03,0.49943453,0,d_prod_20250914-055550
2023-01-04,0.47639194,0,d_prod_20250914-055550
2023-01-05,0.42779213,0,d_prod_20250914-055550
2023-01-06,0.37121457,0,d_prod_20250914-055550
2023-01-09,0.33525562,0,d_prod_20250914-055550
2023-01-10,0.3004373,0,d_prod_20250914-055550
2023-01-11,0.27202106,0,d_prod_20250914-055550
2023-01-12,0.25045973,0,d_prod_20250914-055550
2023-01-13,0.23387212,0,d_prod_20250914-055550
2023-01-16,0.2124469,0,d_prod_20250914-055550
2023-01-17,0.19472408,0,d_prod_20250914-055550
2023-01-18,0.18937896,0,d_prod_20250914-055550
2023-01-19,0.1920386,0,d_prod_20250914-055550
2023-01-20,0.18081346,0,d_prod_20250914-055550
2023-01-23,0.1763534,0,d_prod_20250914-055550
2023-01-24,0.17642725,0,d_prod_20250914-055550
2023-01-25,0.18627378,0,d_prod_20250914-055550
2023-01-26,0.21465634,0,d_prod_20250914-055550
2023-01-27,0.24693398,0,d_prod_20250914-055550
2023-01-30,0.29499567,0,d_prod_20250914-055550
2023-01-31,0.35469562,0,d_prod_20250914-055550
2023-02-01,0.4090888,0,d_prod_20250914-055550
2023-02-02,0.4739214,0,d_prod_20250914-055550
2023-02-03,0.5290283,1,d_prod_20250914-055550
2023-02-06,0.6055678,1,d_prod_20250914-055550
2023-02-07,0.6244607,1,d_prod_20250914-055550
2023-02-08,0.6089841,1,d_prod_20250914-055550
2023-02-09,0.5790648,1,d_prod_20250914-055550
2023-02-10,0.56298476,1,d_prod_20250914-055550
2023-02-13,0.5367552,1,d_prod_20250914-055550
2023-02-14,0.5119928,1,d_prod_20250914-055550
2023-02-15,0.49325952,0,d_prod_20250914-055550
2023-02-16,0.50247186,1,d_prod_20250914-055550
2023-02-17,0.4767131,0,d_prod_20250914-055550
2023-02-20,0.47240838,0,d_prod_20250914-055550
2023-02-21,0.45811316,0,d_prod_20250914-055550
2023-02-22,0.44661236,0,d_prod_20250914-055550
2023-02-23,0.44437963,0,d_prod_20250914-055550
2023-02-24,0.45574102,0,d_prod_20250914-055550
2023-02-27,0.49906787,0,d_prod_20250914-055550
2023-02-28,0.49981672,0,d_prod_20250914-055550
2023-03-01,0.48891035,0,d_prod_20250914-055550
2023-03-02,0.470555,0,d_prod_20250914-055550
2023-03-03,0.4682994,0,d_prod_20250914-055550
2023-03-06,0.4679061,0,d_prod_20250914-055550
2023-03-07,0.46233305,0,d_prod_20250914-055550
2023-03-08,0.5043664,1,d_prod_20250914-055550
2023-03-09,0.53400606,1,d_prod_20250914-055550
2023-03-10,0.55364424,1,d_prod_20250914-055550
2023-03-13,0.5568491,1,d_prod_20250914-055550
2023-03-14,0.5039894,1,d_prod_20250914-055550
2023-03-15,0.4933408,0,d_prod_20250914-055550
2023-03-16,0.46449906,0,d_prod_20250914-055550
2023-03-17,0.45681927,0,d_prod_20250914-055550
2023-03-20,0.40421984,0,d_prod_20250914-055550
2023-03-21,0.34339327,0,d_prod_20250914-055550
2023-03-22,0.33077735,0,d_prod_20250914-055550
2023-03-23,0.29376248,0,d_prod_20250914-055550
2023-03-24,0.23730923,0,d_prod_20250914-055550
2023-03-27,0.22364722,0,d_prod_20250914-055550
2023-03-28,0.2322675,0,d_prod_20250914-055550
2023-03-29,0.22203124,0,d_prod_20250914-055550
2023-03-30,0.22942561,0,d_prod_20250914-055550
2023-03-31,0.24230304,0,d_prod_20250914-055550
2023-04-03,0.2799689,0,d_prod_20250914-055550
2023-04-04,0.3031084,0,d_prod_20250914-055550
2023-04-05,0.31086108,0,d_prod_20250914-055550
2023-04-06,0.3201737,0,d_prod_20250914-055550
2023-04-07,0.35481513,0,d_prod_20250914-055550
2023-04-10,0.38582063,0,d_prod_20250914-055550
2023-04-11,0.42393917,0,d_prod_20250914-055550
2023-04-12,0.43381605,0,d_prod_20250914-055550
2023-04-13,0.43011338,0,d_prod_20250914-055550
2023-04-14,0.40229535,0,d_prod_20250914-055550
2023-04-17,0.4173684,0,d_prod_20250914-055550
2023-04-18,0.42099994,0,d_prod_20250914-055550
2023-04-19,0.39968112,0,d_prod_20250914-055550
2023-04-20,0.38538274,0,d_prod_20250914-055550
2023-04-21,0.3779028,0,d_prod_20250914-055550
2023-04-24,0.3961731,0,d_prod_20250914-055550
2023-04-25,0.40234786,0,d_prod_20250914-055550
2023-04-26,0.4015232,0,d_prod_20250914-055550
2023-04-27,0.3886046,0,d_prod_20250914-055550
2023-04-28,0.3803811,0,d_prod_20250914-055550
2023-05-01,0.35914016,0,d_prod_20250914-055550
2023-05-02,0.3604475,0,d_prod_20250914-055550
2023-05-03,0.3382707,0,d_prod_20250914-055550
