asset,dataset,model,strategy,auc,accuracy,trades,run_id,freq,Return_Ann,Vol_Ann,Sharpe,MaxDD
BTC,,,KW_LR,,,,,D,,,,
BTC,,,KW_MLP,,,,,D,,,,
BTC,,,KW_XGB,,,,,D,,,,
BTC,,,KW_LSTM,,,,,D,,,,
BTC,,,KW_RF,,,,,D,,,,
BTC,,,KW_GRU,,,,,D,,,,
BTC,,,KW_MLP,,,,,D,,,,
BTC,,,KW_LSTM,,,,,D,,,,
BTC,,,KW_XGB,,,,,D,,,,
BTC,,,KW_RF,,,,,D,,,,
BTC,,,KW_LR,,,,,D,,,,
BTC,,,KW_LSTM,,,,,D,0.3352872348297541,0.2583505830740426,1.2977994121022045,-0.1045540070292475
BTC,,,KW_GRU,,,,,D,0.0556412544685366,0.2208262964017806,0.2519684266555857,-0.1336405155703923
BTC,,,KW_XGB,,,,,D,0.6921121789945222,0.3253501189652594,2.1272842351977905,-0.1344663265711477
BTC,,,KW_LR,,,,,D,0.3391114619248158,0.3347050332952936,1.01316511014531,-0.1896961879841988
BTC,,,KW_MLP,,,,,D,0.5808346247508847,0.2808069101484503,2.0684484738777367,-0.1192431953622319
BTC,,,KW_RF,,,,,D,0.5524245171586781,0.4023425842228983,1.373020253935224,-0.2405035506626776
BTC,,,KW_LSTM,,,,,D,0.7303490264102844,0.4693406514694743,1.5561171275567336,-0.2409451149103696
BTC,,,KW_XGB,,,,,D,0.523634675345421,0.4008495769682567,1.3063121565596354,-0.3095812291639488
BTC,,,KW_GRU,,,,,D,0.9249307450893064,0.4853898765490004,1.905541894827578,-0.2534585461194591
BTC,,,KW_LR,,,,,D,0.5098086793943892,0.328747563068557,1.5507603300106398,-0.2656024856393916
BTC,,,KW_RF,,,,,D,0.8032410172319824,0.4298209216049293,1.868780640627547,-0.2700303333674513
BTC,,,KW_MLP,,,,,D,0.745027677999254,0.4611137285838742,1.615713503667105,-0.2534585461194589
BTC,,,KW_GRU,,,,,D,0.7847642066776974,0.3293211380973146,2.382975508987215,-0.204802518544017
BTC,,,KW_MLP,,,,,D,0.5273769065341106,0.3261740817332283,1.616857181697969,-0.1418625505606771
BTC,,,KW_LSTM,,,,,D,0.2930241024288426,0.2500106661262813,1.1720464049355197,-0.1976377825363126
BTC,,,KW_XGB,,,,,D,0.6146927536889285,0.326616928592845,1.8819990633590025,-0.1935746369981709
BTC,,,KW_RF,,,,,D,0.6452272764576649,0.3609963765923816,1.7873511156767703,-0.2209231582639054
BTC,,,KW_LR,,,,,D,0.2174785767629676,0.3047004184292304,0.7137455796224287,-0.2236152503282206
BTC,,,KW_LSTM,,,,,D,0.9249307450893064,0.4853898765490004,1.905541894827578,-0.2534585461194591
BTC,,,KW_GRU,,,,,D,0.9249307450893064,0.4853898765490004,1.905541894827578,-0.2534585461194591
BTC,,,KW_XGB,,,,,D,0.5362828159614461,0.368165471076502,1.4566352851976456,-0.2594275876103858
BTC,,,KW_RF,,,,,D,0.3140835636918494,0.3430094839667195,0.9156702026417536,-0.2989751326908454
BTC,,,KW_LR,,,,,D,0.1062663160961744,0.2390981671167234,0.4444463852552126,-0.2490373480865457
BTC,,,KW_MLP,,,,,D,0.7834191005264558,0.4775114349559733,1.6406289843062862,-0.2768468417662953
BTC,,,KW_MLP,,,,,D,0.1482430817299187,0.3680534720450029,0.4027759360786376,-0.3601138930770708
BTC,,,KW_RF,,,,,D,0.5835059892774466,0.4761549568249386,1.225453984913521,-0.2814447811620788
BTC,,,KW_GRU,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_LSTM,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_LR,,,,,D,0.0001841244289584,0.268949004147891,0.0006846072159358,-0.2611000682089002
BTC,,,KW_XGB,,,,,D,0.7654888226588906,0.3390693510225527,2.257617270184869,-0.1851845496558322
BTC,,,KW_LSTM,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_XGB,,,,,D,0.4210177068890906,0.3441451195433227,1.223372591910579,-0.2118628663644163
BTC,,,KW_RF,,,,,D,0.3446781421158171,0.3695670599800733,0.9326538521436456,-0.2801094635653355
BTC,,,KW_GRU,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_MLP,,,,,D,0.4624613520144696,0.3779625505768932,1.2235639517952344,-0.2314181175492148
BTC,,,KW_LR,,,,,D,0.323202189992902,0.3907520912628607,0.8271284971203966,-0.369475858844733
BTC,,,KW_GRU,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_LR,,,,,D,0.136873553559417,0.2902364122090903,0.4715933211743656,-0.1736329609559286
BTC,,,KW_MLP,,,,,D,0.3050405216752887,0.4394877164566041,0.6940820192534528,-0.2468556456702032
BTC,,,KW_XGB,,,,,D,0.5681817223834742,0.3539676727589323,1.6051796989111804,-0.2520260389867674
BTC,,,KW_LSTM,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_RF,,,,,D,0.3993176588548643,0.4858052692392897,0.821970621027116,-0.2814447811620792
BTC,,,KW_GRU,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_MLP,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_LSTM,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_XGB,,,,,D,0.2959156623245361,0.2242212405583263,1.3197485732738157,-0.1087810010419292
BTC,,,KW_RF,,,,,D,0.4548499903407957,0.2671109073559973,1.7028506804276071,-0.1776583990919326
BTC,,,KW_LR,,,,,D,0.4017612862238093,0.4858474808561653,0.8269288244858685,-0.2814447811620792
BTC,,,KW_LSTM,,,,,D,0.3352872348297541,0.2583505830740426,1.2977994121022045,-0.1045540070292475
BTC,,,KW_GRU,,,,,D,0.0556412544685366,0.2208262964017806,0.2519684266555857,-0.1336405155703923
BTC,,,KW_XGB,,,,,D,0.6921121789945222,0.3253501189652594,2.1272842351977905,-0.1344663265711477
BTC,,,KW_LR,,,,,D,0.3391114619248158,0.3347050332952936,1.01316511014531,-0.1896961879841988
BTC,,,KW_MLP,,,,,D,0.5808346247508847,0.2808069101484503,2.0684484738777367,-0.1192431953622319
BTC,,,KW_RF,,,,,D,0.5524245171586781,0.4023425842228983,1.373020253935224,-0.2405035506626776
BTC,,,KW_LSTM,,,,,D,0.7303490264102844,0.4693406514694743,1.5561171275567336,-0.2409451149103696
BTC,,,KW_XGB,,,,,D,0.523634675345421,0.4008495769682567,1.3063121565596354,-0.3095812291639488
BTC,,,KW_GRU,,,,,D,0.9249307450893064,0.4853898765490004,1.905541894827578,-0.2534585461194591
BTC,,,KW_LR,,,,,D,0.5098086793943892,0.328747563068557,1.5507603300106398,-0.2656024856393916
BTC,,,KW_RF,,,,,D,0.8032410172319824,0.4298209216049293,1.868780640627547,-0.2700303333674513
BTC,,,KW_MLP,,,,,D,0.745027677999254,0.4611137285838742,1.615713503667105,-0.2534585461194589
BTC,,,KW_GRU,,,,,D,0.7847642066776974,0.3293211380973146,2.382975508987215,-0.204802518544017
BTC,,,KW_MLP,,,,,D,0.5273769065341106,0.3261740817332283,1.616857181697969,-0.1418625505606771
BTC,,,KW_LSTM,,,,,D,0.2930241024288426,0.2500106661262813,1.1720464049355197,-0.1976377825363126
BTC,,,KW_XGB,,,,,D,0.6146927536889285,0.326616928592845,1.8819990633590025,-0.1935746369981709
BTC,,,KW_RF,,,,,D,0.6452272764576649,0.3609963765923816,1.7873511156767703,-0.2209231582639054
BTC,,,KW_LR,,,,,D,0.2174785767629676,0.3047004184292304,0.7137455796224287,-0.2236152503282206
BTC,,,KW_LSTM,,,,,D,0.9249307450893064,0.4853898765490004,1.905541894827578,-0.2534585461194591
BTC,,,KW_GRU,,,,,D,0.9249307450893064,0.4853898765490004,1.905541894827578,-0.2534585461194591
BTC,,,KW_XGB,,,,,D,0.5362828159614461,0.368165471076502,1.4566352851976456,-0.2594275876103858
BTC,,,KW_RF,,,,,D,0.3140835636918494,0.3430094839667195,0.9156702026417536,-0.2989751326908454
BTC,,,KW_LR,,,,,D,0.1062663160961744,0.2390981671167234,0.4444463852552126,-0.2490373480865457
BTC,,,KW_MLP,,,,,D,0.7834191005264558,0.4775114349559733,1.6406289843062862,-0.2768468417662953
BTC,,,KW_MLP,,,,,D,0.1482430817299187,0.3680534720450029,0.4027759360786376,-0.3601138930770708
BTC,,,KW_RF,,,,,D,0.5835059892774466,0.4761549568249386,1.225453984913521,-0.2814447811620788
BTC,,,KW_GRU,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_LSTM,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_LR,,,,,D,0.0001841244289584,0.268949004147891,0.0006846072159358,-0.2611000682089002
BTC,,,KW_XGB,,,,,D,0.7654888226588906,0.3390693510225527,2.257617270184869,-0.1851845496558322
BTC,,,KW_LSTM,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_XGB,,,,,D,0.4210177068890906,0.3441451195433227,1.223372591910579,-0.2118628663644163
BTC,,,KW_RF,,,,,D,0.3446781421158171,0.3695670599800733,0.9326538521436456,-0.2801094635653355
BTC,,,KW_GRU,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_MLP,,,,,D,0.4624613520144696,0.3779625505768932,1.2235639517952344,-0.2314181175492148
BTC,,,KW_LR,,,,,D,0.323202189992902,0.3907520912628607,0.8271284971203966,-0.369475858844733
BTC,,,KW_GRU,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_LR,,,,,D,0.136873553559417,0.2902364122090903,0.4715933211743656,-0.1736329609559286
BTC,,,KW_MLP,,,,,D,0.3050405216752887,0.4394877164566041,0.6940820192534528,-0.2468556456702032
BTC,,,KW_XGB,,,,,D,0.5681817223834742,0.3539676727589323,1.6051796989111804,-0.2520260389867674
BTC,,,KW_LSTM,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_RF,,,,,D,0.3993176588548643,0.4858052692392897,0.821970621027116,-0.2814447811620792
BTC,,,KW_GRU,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_MLP,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_LSTM,,,,,D,0.4330329132430816,0.4760750475658752,0.9095896024316676,-0.281444781162079
BTC,,,KW_XGB,,,,,D,0.2959156623245361,0.2242212405583263,1.3197485732738157,-0.1087810010419292
BTC,,,KW_RF,,,,,D,0.4548499903407957,0.2671109073559973,1.7028506804276071,-0.1776583990919326
BTC,,,KW_LR,,,,,D,0.4017612862238093,0.48584748085616536,0.8269288244858685,-0.28144478116207927
