asset,dataset,model,strategy,auc,accuracy,trades,run_id,freq,Return_Ann,Vol_Ann,Sharpe,MaxDD
BTC,,,KW_GRU,,,,,W,-0.0024761904761904,0.0010668874579477,-2.320948154132002,-0.0029962524990624
BTC,,,KW_MLP,,,,,W,-0.0111428571428571,0.001798616980203,-6.19523626514376,-0.0134126145306417
BTC,,,KW_GRU,,,,,W,-0.0028888888888888,0.0011422169225711,-2.529194614264668,-0.0034947543728128
BTC,,,KW_XGB,,,,,W,-0.0099411764705882,0.0017651886960244,-5.631792506363662,-0.0129190740676756
BTC,,,KW_LR,,,,,W,-0.0030588235294117,0.0011703087096386,-2.6136894515262545,-0.0039930069956264
BTC,,,KW_MLP,,,,,W,-0.0045396825396825,0.0013797600658164,-3.290197080023751,-0.0054862706043888
BTC,,,KW_LSTM,,,,,W,-0.0008253968253968,0.0006372142392375,-1.295320748614128,-0.0009997499999998
BTC,,,KW_RF,,,,,W,-0.0072647058823529,0.0016298763533253,-4.457212884603955,-0.009457370883112
BTC,,,KW_RF,,,,,W,-0.0068823529411764,0.0016025111987845,-4.294730012742699,-0.0089618518090166
BTC,,,KW_XGB,,,,,W,-0.0076470588235294,0.0016550664493342,-4.620393837724906,-0.0099526421976704
BTC,,,KW_LSTM,,,,,W,-0.0004126984126984,0.0004542567625794,-0.908513525158996,-0.0004999999999999
BTC,,,KW_MLP,,,,,W,-0.0045396825396825,0.0013797600658164,-3.290197080023752,-0.0054862706043888
BTC,,,KW_LR,,,,,W,-0.0038235294117647,0.0012864526775825,-2.9721492895873083,-0.0049887649868823
BTC,,,KW_GRU,,,,,W,-0.0008253968253968254,0.0006372142392375964,-1.2953207486141278,-0.000999749999999855
