date,prob_up,signal,run_id
2023-02-27,0.12870729,0,d_prod_20250914-055550
2023-02-28,0.6827971,1,d_prod_20250914-055550
2023-03-01,0.837241,1,d_prod_20250914-055550
2023-03-02,0.88931763,1,d_prod_20250914-055550
2023-03-03,0.90942115,1,d_prod_20250914-055550
2023-03-06,0.501752,1,d_prod_20250914-055550
2023-03-07,0.43850538,0,d_prod_20250914-055550
2023-03-08,0.8970779,1,d_prod_20250914-055550
2023-03-09,0.9261345,1,d_prod_20250914-055550
2023-03-10,0.76942664,1,d_prod_20250914-055550
2023-03-13,0.24766652,0,d_prod_20250914-055550
2023-03-14,0.21675335,0,d_prod_20250914-055550
2023-03-15,0.39104304,0,d_prod_20250914-055550
2023-03-16,0.67034465,1,d_prod_20250914-055550
2023-03-17,0.35943028,0,d_prod_20250914-055550
2023-03-20,0.3757317,0,d_prod_20250914-055550
2023-03-21,0.60296226,1,d_prod_20250914-055550
2023-03-22,0.72641647,1,d_prod_20250914-055550
2023-03-23,0.13521393,0,d_prod_20250914-055550
2023-03-24,0.30851102,0,d_prod_20250914-055550
2023-03-27,0.66694313,1,d_prod_20250914-055550
2023-03-28,0.62623,1,d_prod_20250914-055550
2023-03-29,0.5771869,1,d_prod_20250914-055550
2023-03-30,0.6708139,1,d_prod_20250914-055550
2023-03-31,0.6123692,1,d_prod_20250914-055550
2023-04-03,0.5333495,1,d_prod_20250914-055550
2023-04-04,0.34483206,0,d_prod_20250914-055550
2023-04-05,0.3826467,0,d_prod_20250914-055550
2023-04-06,0.52743626,1,d_prod_20250914-055550
2023-04-07,0.7514686,1,d_prod_20250914-055550
2023-04-10,0.49291715,0,d_prod_20250914-055550
2023-04-11,0.7167982,1,d_prod_20250914-055550
2023-04-12,0.8617396,1,d_prod_20250914-055550
2023-04-13,0.7770638,1,d_prod_20250914-055550
2023-04-14,0.8805638,1,d_prod_20250914-055550
2023-04-17,0.864697,1,d_prod_20250914-055550
2023-04-18,0.9434818,1,d_prod_20250914-055550
2023-04-19,0.36856773,0,d_prod_20250914-055550
2023-04-20,0.35911453,0,d_prod_20250914-055550
2023-04-21,0.74384403,1,d_prod_20250914-055550
2023-04-24,0.3698901,0,d_prod_20250914-055550
2023-04-25,0.14862491,0,d_prod_20250914-055550
2023-04-26,0.5061578,1,d_prod_20250914-055550
2023-04-27,0.54410595,1,d_prod_20250914-055550
2023-04-28,0.39754423,0,d_prod_20250914-055550
2023-05-01,0.43140692,0,d_prod_20250914-055550
2023-05-02,0.35788414,0,d_prod_20250914-055550
2023-05-03,0.24268574,0,d_prod_20250914-055550
2023-05-04,0.35704315,0,d_prod_20250914-055550
2023-05-05,0.4715824,0,d_prod_20250914-055550
2023-05-08,0.6978398,1,d_prod_20250914-055550
2023-05-09,0.75552076,1,d_prod_20250914-055550
2023-05-10,0.58255386,1,d_prod_20250914-055550
2023-05-11,0.6054866,1,d_prod_20250914-055550
2023-05-12,0.6717319,1,d_prod_20250914-055550
2023-05-15,0.42615643,0,d_prod_20250914-055550
2023-05-16,0.763153,1,d_prod_20250914-055550
2023-05-17,0.45403627,0,d_prod_20250914-055550
2023-05-18,0.6935537,1,d_prod_20250914-055550
2023-05-19,0.8940037,1,d_prod_20250914-055550
2023-05-22,0.41399112,0,d_prod_20250914-055550
2023-05-23,0.6896097,1,d_prod_20250914-055550
2023-05-24,0.6338119,1,d_prod_20250914-055550
2023-05-25,0.13574685,0,d_prod_20250914-055550
2023-05-26,0.2718396,0,d_prod_20250914-055550
2023-05-29,0.09185349,0,d_prod_20250914-055550
